Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Austria,Tipico Bundesliga,2016/2017,08/04/2017,17:30,Admira,Mattersburg,0,2,A,2.27,3.44,3.42,2.34,3.44,3.47,2.22,3.24,3.25
Austria,Tipico Bundesliga,2016/2017,08/04/2017,17:30,Austria Vienna,St. Polten,1,2,A,1.42,5.01,8.4,1.52,5.01,8.4,1.44,4.39,6.96
Austria,Tipico Bundesliga,2016/2017,09/04/2017,15:30,Salzburg,Sturm Graz,1,0,H,1.32,5.56,11.6,1.39,5.56,11.6,1.34,4.76,8.96
Austria,Tipico Bundesliga,2016/2017,15/04/2017,15:00,Wolfsberger AC,Salzburg,0,2,A,8.2,4.62,1.46,8.5,4.8,1.48,7.64,4.31,1.42
Austria,Tipico Bundesliga,2016/2017,15/04/2017,17:30,Admira,St. Polten,2,0,H,2.62,3.47,2.82,2.62,3.47,3.4,2.46,3.31,2.81
Austria,Tipico Bundesliga,2016/2017,15/04/2017,17:30,Rapid Vienna,Altach,3,0,H,1.69,3.83,5.83,1.73,3.95,5.9,1.67,3.66,5.19
Austria,Tipico Bundesliga,2016/2017,15/04/2017,17:30,Sturm Graz,Ried,1,0,H,1.61,4.17,6.1,1.7,4.25,6.5,1.59,3.86,5.64
Austria,Tipico Bundesliga,2016/2017,16/04/2017,14:00,Mattersburg,Austria Vienna,0,3,A,3.42,3.42,2.27,3.42,3.49,2.4,3.09,3.3,2.27
Austria,Tipico Bundesliga,2016/2017,22/04/2017,15:00,Sturm Graz,Mattersburg,0,2,A,1.88,3.61,4.64,1.89,3.9,5.6,1.82,3.51,4.35
Austria,Tipico Bundesliga,2016/2017,22/04/2017,17:30,Altach,Admira,0,0,D,1.63,3.86,6.55,1.75,3.9,6.7,1.61,3.68,5.79
Austria,Tipico Bundesliga,2016/2017,22/04/2017,17:30,Ried,Wolfsberger AC,1,1,D,2.19,3.36,3.76,2.2,3.4,3.85,2.11,3.23,3.55
Austria,Tipico Bundesliga,2016/2017,22/04/2017,17:30,St. Polten,Salzburg,1,2,A,10.79,5.39,1.34,11.0,5.5,1.36,9.71,4.96,1.32
Austria,Tipico Bundesliga,2016/2017,23/04/2017,15:30,Rapid Vienna,Austria Vienna,0,2,A,1.95,3.56,4.29,2.1,3.6,4.4,1.94,3.45,3.85
Austria,Tipico Bundesliga,2016/2017,29/04/2017,15:00,Austria Vienna,Sturm Graz,4,1,H,2.12,3.36,3.92,2.16,3.4,3.92,2.07,3.26,3.6
