Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
China,Super League,2018,12/05/2018,12:35,Guangzhou Evergrande,Hebei,2,2,D,1.68,4.15,5.06,1.7,4.25,5.25,1.65,3.99,4.6
China,Super League,2018,12/05/2018,12:35,Shanghai Shenhua,Chongqing Lifan,2,1,H,2.0,3.71,3.76,2.15,3.71,3.8,2.0,3.57,3.4
China,Super League,2018,12/05/2018,12:35,Tianjin Quanjian,Shandong Luneng,1,1,D,3.02,3.47,2.4,3.25,3.52,2.45,2.92,3.35,2.31
China,Super League,2018,13/05/2018,12:35,Henan Jianye,Beijing Renhe,1,0,H,2.24,3.18,3.63,2.46,3.25,3.93,2.19,3.1,3.39
China,Super League,2018,13/05/2018,12:35,Jiangsu Suning,Dalian Yifang F.C.,1,0,H,1.55,4.43,6.04,1.63,4.45,6.04,1.54,4.15,5.41
China,Super League,2018,18/05/2018,12:35,Tianjin Teda,Shandong Luneng,1,2,A,2.92,3.57,2.42,3.3,3.6,2.42,2.95,3.39,2.27
China,Super League,2018,19/05/2018,08:30,Changchun Yatai,Beijing Guoan,0,2,A,3.08,3.74,2.25,3.28,3.8,2.28,2.97,3.58,2.18
China,Super League,2018,19/05/2018,12:35,Guangzhou R&F,Henan Jianye,1,1,D,1.63,4.25,5.32,1.7,4.54,5.45,1.62,4.0,4.9
China,Super League,2018,19/05/2018,12:35,Hebei,Chongqing Lifan,2,1,H,1.53,4.65,6.02,1.57,4.65,7.0,1.51,4.3,5.66
China,Super League,2018,20/05/2018,08:30,Beijing Renhe,Guangzhou Evergrande,2,0,H,3.23,3.52,2.26,3.7,3.64,2.29,3.22,3.38,2.13
China,Super League,2018,20/05/2018,11:00,Tianjin Quanjian,Shanghai Shenhua,2,1,H,1.61,4.38,5.27,1.65,4.4,5.5,1.58,4.11,5.03
China,Super League,2018,20/05/2018,12:35,Dalian Yifang F.C.,Guizhou Zhicheng,2,1,H,1.96,3.73,3.84,2.0,3.77,4.1,1.92,3.59,3.61
China,Super League,2018,20/05/2018,13:00,Shanghai SIPG,Jiangsu Suning,2,0,H,1.96,4.0,3.63,2.0,4.08,4.0,1.89,3.79,3.59
China,Super League,2018,17/07/2018,12:35,Chongqing Lifan,Changchun Yatai,1,2,A,2.45,3.39,3.0,2.47,3.6,3.14,2.36,3.36,2.84
China,Super League,2018,17/07/2018,12:35,Jiangsu Suning,Beijing Renhe,0,0,D,1.64,3.77,6.16,1.68,3.92,6.5,1.61,3.65,5.61
China,Super League,2018,17/07/2018,12:35,Shandong Luneng,Shanghai SIPG,1,1,D,2.85,3.87,2.34,3.1,3.87,2.38,2.84,3.61,2.26
China,Super League,2018,17/07/2018,12:35,Tianjin Quanjian,Guangzhou R&F,2,1,H,2.75,3.65,2.51,2.76,3.7,2.67,2.61,3.51,2.47
